
gift_id,title,description,category,price,currency,store_url,image_url,age_min,age_max
RU1,Компактный плед 1,Компактный плед 1. Отличный вариант подарка для разных случаев.,Спорт и активный отдых,1090,RUB,https://store.example.com/item/RU1,https://images.example.com/RU1.jpg,3,10
RU2,Ароматический фонарь 2,Ароматический фонарь 2. Отличный вариант подарка для разных случаев.,Красота и здоровье,3663,RUB,https://store.example.com/item/RU2,https://images.example.com/RU2.jpg,8,42
RU3,Креативный чашка 3,Креативный чашка 3. Отличный вариант подарка для разных случаев.,Еда и напитки,3649,RUB,https://store.example.com/item/RU3,https://images.example.com/RU3.jpg,18,72
RU4,Декоративный набор 4,Декоративный набор 4. Отличный вариант подарка для разных случаев.,Творчество и хобби,2419,RUB,https://store.example.com/item/RU4,https://images.example.com/RU4.jpg,16,76
RU5,Красочный ручка 5,Красочный ручка 5. Отличный вариант подарка для разных случаев.,Канцелярия,4711,RUB,https://store.example.com/item/RU5,https://images.example.com/RU5.jpg,0,34
RU6,Классический ручка 6,Классический ручка 6. Отличный вариант подарка для разных случаев.,Электроника,2294,RUB,https://store.example.com/item/RU6,https://images.example.com/RU6.jpg,18,46
RU7,Стильный свеча 7,Стильный свеча 7. Отличный вариант подарка для разных случаев.,Творчество и хобби,1704,RUB,https://store.example.com/item/RU7,https://images.example.com/RU7.jpg,0,69
RU8,Подарочный набор ножей 8,Подарочный набор ножей 8. Отличный вариант подарка для разных случаев.,Дом и уют,2743,RUB,https://store.example.com/item/RU8,https://images.example.com/RU8.jpg,12,77
RU9,Классический чай 9,Классический чай 9. Отличный вариант подарка для разных случаев.,Игры и хобби,1547,RUB,https://store.example.com/item/RU9,https://images.example.com/RU9.jpg,12,80
RU10,Подарочный чай 10,Подарочный чай 10. Отличный вариант подарка для разных случаев.,Игры и хобби,2383,RUB,https://store.example.com/item/RU10,https://images.example.com/RU10.jpg,6,80
RU11,Декоративный набор ножей 11,Декоративный набор ножей 11. Отличный вариант подарка для разных случаев.,Дом и уют,3975,RUB,https://store.example.com/item/RU11,https://images.example.com/RU11.jpg,0,47
RU12,Красочный браслет 12,Красочный браслет 12. Отличный вариант подарка для разных случаев.,Детские товары,4627,RUB,https://store.example.com/item/RU12,https://images.example.com/RU12.jpg,3,49
RU13,Креативный свеча 13,Креативный свеча 13. Отличный вариант подарка для разных случаев.,Еда и напитки,5239,RUB,https://store.example.com/item/RU13,https://images.example.com/RU13.jpg,8,31
RU14,Декоративный браслет 14,Декоративный браслет 14. Отличный вариант подарка для разных случаев.,Еда и напитки,3319,RUB,https://store.example.com/item/RU14,https://images.example.com/RU14.jpg,18,46
RU15,Классический книга 15,Классический книга 15. Отличный вариант подарка для разных случаев.,Дом и уют,3005,RUB,https://store.example.com/item/RU15,https://images.example.com/RU15.jpg,18,75
RU16,Креативный ручка 16,Креативный ручка 16. Отличный вариант подарка для разных случаев.,Красота и здоровье,3603,RUB,https://store.example.com/item/RU16,https://images.example.com/RU16.jpg,3,34
RU17,Креативный фонарь 17,Креативный фонарь 17. Отличный вариант подарка для разных случаев.,Дом и уют,5442,RUB,https://store.example.com/item/RU17,https://images.example.com/RU17.jpg,8,52
RU18,Стильный ожерелье 18,Стильный ожерелье 18. Отличный вариант подарка для разных случаев.,Канцелярия,545,RUB,https://store.example.com/item/RU18,https://images.example.com/RU18.jpg,18,25
RU19,Уютный набор 19,Уютный набор 19. Отличный вариант подарка для разных случаев.,Электроника,2724,RUB,https://store.example.com/item/RU19,https://images.example.com/RU19.jpg,18,46
RU20,Классический свеча 20,Классический свеча 20. Отличный вариант подарка для разных случаев.,Дом и уют,2576,RUB,https://store.example.com/item/RU20,https://images.example.com/RU20.jpg,3,17
RU21,Декоративный игра 21,Декоративный игра 21. Отличный вариант подарка для разных случаев.,Украшения,5476,RUB,https://store.example.com/item/RU21,https://images.example.com/RU21.jpg,3,79
RU22,Набор чашка 22,Набор чашка 22. Отличный вариант подарка для разных случаев.,Дом и уют,5573,RUB,https://store.example.com/item/RU22,https://images.example.com/RU22.jpg,12,21
RU23,Классический фонарь 23,Классический фонарь 23. Отличный вариант подарка для разных случаев.,Красота и здоровье,5075,RUB,https://store.example.com/item/RU23,https://images.example.com/RU23.jpg,0,59
RU24,Креативный фонарь 24,Креативный фонарь 24. Отличный вариант подарка для разных случаев.,Дом и уют,5233,RUB,https://store.example.com/item/RU24,https://images.example.com/RU24.jpg,16,33
RU25,Классический чай 25,Классический чай 25. Отличный вариант подарка для разных случаев.,Электроника,1105,RUB,https://store.example.com/item/RU25,https://images.example.com/RU25.jpg,12,77
RU26,Набор набор 26,Набор набор 26. Отличный вариант подарка для разных случаев.,Красота и здоровье,5608,RUB,https://store.example.com/item/RU26,https://images.example.com/RU26.jpg,8,38
RU27,Стильный книга 27,Стильный книга 27. Отличный вариант подарка для разных случаев.,Творчество и хобби,5040,RUB,https://store.example.com/item/RU27,https://images.example.com/RU27.jpg,3,80
RU28,Стильный браслет 28,Стильный браслет 28. Отличный вариант подарка для разных случаев.,Спорт и активный отдых,2303,RUB,https://store.example.com/item/RU28,https://images.example.com/RU28.jpg,6,51
RU29,Креативный чашка 29,Креативный чашка 29. Отличный вариант подарка для разных случаев.,Украшения,2335,RUB,https://store.example.com/item/RU29,https://images.example.com/RU29.jpg,3,66
RU30,Декоративный ручка 30,Декоративный ручка 30. Отличный вариант подарка для разных случаев.,Спорт и активный отдых,902,RUB,https://store.example.com/item/RU30,https://images.example.com/RU30.jpg,12,57
RU31,Ароматический чай 31,Ароматический чай 31. Отличный вариант подарка для разных случаев.,Красота и здоровье,2184,RUB,https://store.example.com/item/RU31,https://images.example.com/RU31.jpg,0,58
RU32,Декоративный набор ножей 32,Декоративный набор ножей 32. Отличный вариант подарка для разных случаев.,Творчество и хобби,534,RUB,https://store.example.com/item/RU32,https://images.example.com/RU32.jpg,18,26
RU33,Декоративный масло 33,Декоративный масло 33. Отличный вариант подарка для разных случаев.,Украшения,4607,RUB,https://store.example.com/item/RU33,https://images.example.com/RU33.jpg,18,61
RU34,Компактный чай 34,Компактный чай 34. Отличный вариант подарка для разных случаев.,Красота и здоровье,4183,RUB,https://store.example.com/item/RU34,https://images.example.com/RU34.jpg,8,76
RU35,Ароматический плед 35,Ароматический плед 35. Отличный вариант подарка для разных случаев.,Красота и здоровье,4888,RUB,https://store.example.com/item/RU35,https://images.example.com/RU35.jpg,12,30
RU36,Ароматический масло 36,Ароматический масло 36. Отличный вариант подарка для разных случаев.,Спорт и активный отдых,1887,RUB,https://store.example.com/item/RU36,https://images.example.com/RU36.jpg,18,26
RU37,Креативный ручка 37,Креативный ручка 37. Отличный вариант подарка для разных случаев.,Канцелярия,1941,RUB,https://store.example.com/item/RU37,https://images.example.com/RU37.jpg,16,43
RU38,Компактный книга 38,Компактный книга 38. Отличный вариант подарка для разных случаев.,Творчество и хобби,5742,RUB,https://store.example.com/item/RU38,https://images.example.com/RU38.jpg,16,32
RU39,Набор чай 39,Набор чай 39. Отличный вариант подарка для разных случаев.,Канцелярия,1291,RUB,https://store.example.com/item/RU39,https://images.example.com/RU39.jpg,18,74
RU40,Подарочный книга 40,Подарочный книга 40. Отличный вариант подарка для разных случаев.,Спорт и активный отдых,4735,RUB,https://store.example.com/item/RU40,https://images.example.com/RU40.jpg,16,31
RU41,Компактный книга 41,Компактный книга 41. Отличный вариант подарка для разных случаев.,Украшения,3612,RUB,https://store.example.com/item/RU41,https://images.example.com/RU41.jpg,0,17
RU42,Уютный набор ножей 42,Уютный набор ножей 42. Отличный вариант подарка для разных случаев.,Спорт и активный отдых,3205,RUB,https://store.example.com/item/RU42,https://images.example.com/RU42.jpg,0,56
RU43,Стильный чашка 43,Стильный чашка 43. Отличный вариант подарка для разных случаев.,Электроника,582,RUB,https://store.example.com/item/RU43,https://images.example.com/RU43.jpg,12,52
RU44,Классический набор ножей 44,Классический набор ножей 44. Отличный вариант подарка для разных случаев.,Еда и напитки,5325,RUB,https://store.example.com/item/RU44,https://images.example.com/RU44.jpg,18,66
